"Date","Price (Close)","Circulating Marketcap","Realized Marketcap"
"2021-12-21","48913.54969317812","886700117281.6326","462335309448.1576"
"2021-12-20","46919.455753861504","882853779027.2357","461835061469.7807"
"2021-12-19","46696.18828923895","885747730519.4418","461989132486.7511"
"2021-12-18","46858.707248173996","872374997279.4834","461939280022.4139"
"2021-12-17","46158.83776968673","900776535605.8519","461836041921.2729"
"2021-12-16","47644.42976206312","923974863992.4088","462335647675.8177"
"2021-12-15","48888.311283824754","914625972690.2896","462436613410.50476"
"2021-12-14","48371.07189171241","883607172534.7747","462195291200.82574"
"2021-12-13","46734.82802414623","946870070610.4164","461674608122.5036"
"2021-12-12","50095.84188761455","932850082860.8726","462270672671.6879"
"2021-12-11","49413.99169724149","891354328562.75","462141246590.3754"
"2021-12-10","47177.6365366698","900679070561.247","461754584867.7283"
"2021-12-09","47580.70580969434","954572952929.6954","462040211572.97864"
"2021-12-08","50514.81642085562","956810179951.341","462831419240.6122"
"2021-12-07","50631.72168899536","955954363447.0396","462885310187.83307"
"2021-12-06","50513.5013442801","933812857908.4766","461797409208.43835"
"2021-12-05","49466.5094623895","930180129745.157","462064933794.2192"
"2021-12-04","49237.93061134608","1012067640391.9832","462225521697.0593"
"2021-12-03","53650.623544597256","1067919074060.5146","464016106004.49133"
"2021-12-02","56520.89965437467","1081019352694.854","464658824825.6445"
"2021-12-01","57219.384525995934","1077022666216.402","464676705324.0941"
"2021-11-30","56980.61206570054","1092188401734.2767","463917942451.6837"
"2021-11-29","57835.29033338085","1081473892267.2135","463636790399.1703"
"2021-11-28","57324.80152701594","1034681195286.5708","462691666746.82117"
"2021-11-27","54773.00678642563","1013292949507.8489","462119259747.9326"
"2021-11-26","53771.63946029656","1113419479141.8958","462131037742.404"
"2021-11-25","58993.3076256517","1079759407289.9393","463326589694.16095"
"2021-11-24","57167.940399318286","1086892085641.9493","459752551255.2708"
"2021-11-23","57566.31613345491","1062842440007.1913","459462821175.2799"
"2021-11-22","56287.30190661673","1109195167807.264","459050801590.4026"
"2021-11-21","58687.185677168825","1128015173943.2144","459614872445.9492"
"2021-11-20","59763.42238615593","1097301858183.7076","459465255595.1795"
"2021-11-19","58113.417541449664","1075233638327.5132","458961028179.92316"
"2021-11-18","56922.44043653159","1139703594859.1147","458625952521.5541"
"2021-11-17","60374.03497360173","1134822280515.6384","459585270084.7298"
"2021-11-16","60101.086545380604","1199773132630.647","458894339132.5732"
"2021-11-15","63613.27713454951","1235945611141.9714","458212578452.0314"
"2021-11-14","65529.21554642032","1215448857941.8755","457141858055.8403"
"2021-11-13","64408.395925960045","1211750576858.9019","456712905708.04785"
"2021-11-12","64148.801061873775","1224170311571.8286","456281202500.8405"
"2021-11-11","64815.87967883819","1226462003250.8916","450155463110.7655"
"2021-11-10","64916.88837726965","1263110052711.8223","449058378754.6159"
"2021-11-09","66952.03855670716","1274746950619.3896","448084558267.2427"
"2021-11-08","67553.510527717","1194941000777.403","446411909311.82745"
"2021-11-07","63319.18439686647","1160245387424.4802","443436349253.0704"
"2021-11-06","61528.835301861756","1151481893559.0945","442942235179.9193"
"2021-11-05","61016.50554379181","1159516894458.671","442338811302.9709"
"2021-11-04","61456.704150052756","1187643999692.7659","441285350878.1094"
"2021-11-03","62927.542965413624","1193659427280.0273","441025794038.05396"
"2021-11-02","63269.55170974233","1150256542515.1042","439366156178.83936"
"2021-11-01","60954.44422250737","1157636506667.2751","436574028968.63666"
"2021-10-31","61349.79664491741","1167669311752.9858","435569361606.6363"
"2021-10-30","61889.92586166655","1175063146862.9702","433603590311.4149"
"2021-10-29","62292.15271971656","1143511355958.6206","433171150350.1262"
"2021-10-28","60608.59294762445","1103082680127.4226","431871673235.65375"
"2021-10-27","58475.89923831332","1138225781542.6987","430731793070.30084"
"2021-10-26","60337.9407105646","1189697095274.991","430786028129.5104"
"2021-10-25","63085.86122774842","1148423425871.2046","430281980168.95703"
"2021-10-24","60873.552431355056","1156704816777.9727","428319869730.89685"
"2021-10-23","61297.1379295953","1144529763830.2827","427271494767.37744"
"2021-10-22","60679.01229752287","1172840445639.2666","426844088427.9452"
"2021-10-21","62229.46848147923","1242668575681.1123","426528263405.02515"
"2021-10-20","66038.33040206794","1211939516609.446","425234486587.82837"
"2021-10-19","64293.39210732613","1169400478201.5588","422453317003.5555"
"2021-10-18","62017.586580697105","1160062490528.9202","420443792044.2737"
"2021-10-17","61524.828234542525","1147970238725.886","417417138295.42456"
"2021-10-16","60876.517474630455","1161814182973.8064","416795127544.87067"
"2021-10-15","61679.701554760875","1080530015250.5829","415955839724.94574"
"2021-10-14","57355.09980830324","1081843116863.3209","413682399073.6632"
"2021-10-13","57371.07835167782","1056145195748.7175","412435797225.3963"
"2021-10-12","56003.87675319907","1083517682031.86","411293818750.78064"
"2021-10-11","57498.92317727315","1031176263108.5627","410170903227.1717"
"2021-10-10","54685.66784257121","1035971126453.0083","408940240530.2024"
"2021-10-09","54969.25391775828","1016972641665.344","408298507164.3048"
"2021-10-08","53964.72554080152","1015171815782.8167","407709042876.2604"
"2021-10-07","53791.56011707855","1042425930445.377","407044881826.6608"
"2021-10-06","55333.011327334956","970514741747.1166","405729562583.1586"
"2021-10-05","51496.0737935795","927668372713.7096","402652387952.23804"
"2021-10-04","49245.049341553145","908379024041.6405","401383119471.3224"
"2021-10-03","48228.374332415784","906257176366.1732","400563739341.66705"
"2021-10-02","47660.801395880844","907034055654.6046","400258915964.1751"
"2021-10-01","48167.68563488634","824890759728.3622","399615140797.12213"
"2021-09-30","43825.75735773819","782897611048.2972","398306514882.07336"
"2021-09-29","41524.60631143541","784474664317.7946","397706945575.5047"
"2021-09-28","41039.934214287874","811120885231.585","397705923983.35565"
"2021-09-27","42169.21466737234","813110563039.2368","397988912214.1715"
"2021-09-26","43189.15920010166","803959376873.3906","397951507305.1895"
"2021-09-25","42703.66528136097","806915886111.3164","395221241315.078"
"2021-09-24","42847.89800231547","845319795529.6283","395196123992.26715"
"2021-09-23","44896.434687317844","820422949350.0641","395484558719.4607"
